name,period-start,period-end,value,currency
"""Korea Forest Service""",01/01/2018,31/12/2018,12969946186,KRW
,,,,
"""Korean Intellectual Property Office""",01/01/2018,31/12/2018,1450860315,KRW
,,,,
"""Korea Meteorological Administration""",01/01/2018,31/12/2018,3328000000,KRW
,,,,
"""Constitutional Court of Korea""",01/01/2018,31/12/2018,26000000,KRW
,,,,
"""Fair Trade Commission""",01/01/2018,31/12/2018,65537228,KRW
,,,,
"""Anti·Corruption and Civil Rights Commission""",01/01/2018,31/12/2018,75765651,KRW
,,,,
"""National Election Commission""",01/01/2018,31/12/2018,4076714787,KRW
,,,,
"""Gangwon Province""",01/01/2018,31/12/2018,422999992,KRW
,,,,
"""Gyeonggi-do""",01/01/2018,31/12/2018,3015890442,KRW
,,,,
"""Gyeongsangnam-do""",01/01/2018,31/12/2018,100000000,KRW
,,,,
"""Gyeongsangbuk-do""",01/01/2018,31/12/2018,5097252000,KRW
,,,,
"""Gwangju""",01/01/2018,31/12/2018,80000000,KRW
,,,,
"""Daegu Metropolitan City""",01/01/2018,31/12/2018,610127706,KRW
,,,,
"""Busan Metropolitan City""",01/01/2018,31/12/2018,118380050,KRW
,,,,
"""Seoul Metropolitan Government""",01/01/2018,31/12/2018,916084190,KRW
,,,,
"""Ulsan Metropolitan City""",01/01/2018,31/12/2018,56933130,KRW
,,,,
"""Incheon Metropolitan City""",01/01/2018,31/12/2018,2669200000,KRW
,,,,
"""Jeju Special Self-Governing Province""",01/01/2018,31/12/2018,70000000,KRW
,,,,
"""Ministry of National Defense""",01/01/2018,31/12/2018,1760956600,KRW
,,,,
"""Supreme Prosecutors' Office""",01/01/2018,31/12/2018,308454392,KRW
,,,,
"""Korean National Police Agency""",01/01/2018,31/12/2018,3156695210,KRW
,,,,
"""Bank of Korea""",01/01/2018,31/12/2018,4.17898E+11,KRW
,,,,
UK - Foreign & Commonwealth Office,01/04/2016,31/03/2017,2064369000,GBP
,,,,
UK - Foreign & Commonwealth Office,01/04/2015,31/03/2016,2125684000,GBP
,,,,
UK - Foreign & Commonwealth Office,01/04/2014,31/03/2015,1951358000,GBP
